ID_INSTITUTO,NOMBRE,DIRECCION,CODPOSTAL,ID_PAQUETE
1,Antonio Relaño,"C/ Balsillas, 36",4520,1
2,San Fernando,"C/ Tarrasa, 20",4770,2
3,Abdera,"C/ Marisma, 6",4770,3
4,Gaviota,"C/ Estero, 4",4770,1
5,Ciudad de Almería,"C/ Padre Méndez, 46",4006,2
6,Velázquez,"C/ Buenavista, s/n",4800,3
7,Virgen del Saliente,"Pago Aljara, s/n",4800,1
8,Cardenal Cisneros,"Avda. de América, s/n",4800,2
9,Las Marinas,"C/ Coimbra, 1",4740,3
10,Juan XXIII,"C/ Calvario, 1",4567,1
11,Inmaculada Concepción,"C/ Alcalde Juan Martínez Rodríguez, s/n",4400,2
12,La Milagrosa,"C/ Alcalde Muñoz, 18",4004,3
13,Divina Infantita,"C/ Calzada de Castro, 56",4006,1
14,Nuestra Señora de Fátima,"C/ Briviesca, 1",4007,2
15,El Arcángel,"C/ Hermanos Pinzón, 61",4005,3
16,Stella Maris,"Avda. Federico García Lorca, 22",4004,1
17,María Inmaculada,"C/ Infanta, 2",4001,2
18,Compañía de María,"Rbla. Obispo Orbera, 35",4001,3
19,San Francisco,"Plaza Inmaculada, 1",4003,1
20,Amor de Dios,"C/ Cordoneros, 22",4002,2
21,Nuestra Señora del Milagro,"Plaza Virgen del Mar, 2",4002,3
22,Virgen del Mar,"Avda. Mediterráneo, 73. Ciudad Jardín",4007,1
23,Alhamilla,"Avda. Federico García Lorca, 130",4005,2
24,Europa José Ramos Santander,"Avda. Madre María Aznar, 272",4009,3
25,Lope de Vega,"C/ Chile, 42",4007,1
26,La Salle-Chocillas,"Ctra. Alhadra, 205",4009,2
27,Juan Pablo II Mater Asunta,"Paseo San Luis, 6",4002,3
28,Freinet,"Ctra. de Ronda, 100",4006,1
29,Nicolás Salmerón Alonso,"C/ Celia Viñas, s/n",4007,2
30,Celia Viñas,"C/ Javier Sanz, 15",4004,3
31,Alhadra,"C/ de los Colegios, 7",4009,1
32,San Ildefonso,"Ctra. Prolongación C/ Santiago, s/n",4009,2
33,Los Ángeles,"C/ Maestría, 2",4008,3
34,La Salle-Virgen del Mar,"Avda. Federico García Lorca, 60",4005,1
35,Mar de Alborán,"Avda. Padre Méndez, s/n",4006,2
36,Luis Siret,"Avda. Santa Isabel, 29",4005,3
37,Los Millares,"Finca Santa Isabel, s/n",4008,1
38,San Bernardo,"Ctra. de Níjar, s/n",4130,2
39,San Indalecio,"Cmo. Playa, 17",4120,3
40,Mediterráneo,"Ctra. AL-153, Km 1¿5",4630,1
41,San Tesifón,"Ctra. de Turón, s/n",4760,2
42,Sierra de Gádor,"C/ Ramón y Cajal, 1",4760,3
43,Valle del Almanzora,"Avda. España, 33",4850,1
44,Simón Fuentes,"Avda. Joan Manuel Serrat, 149",4140,2
45,Jaroso,"Avda. Carlos Herrera, 25",4610,3
46,Alarcón Fernández de Arellano,"Avda. Andalucía, 7",4617,1
47,Santa María del Águila,"C/ Manuel de Falla, 7",4710,2
48,Santiago Ramón y Cajal,"C/ Príncipes de España, 15",4700,3
49,Diego Velázquez,"Avda. Príncipes de España, 13",4700,1
50,Loma de Santo Domingo,"C/ Alonso Ojeda, 19",4700,2
51,José Salazar,"C/ Venezuela, 1. Aptdo. correos 10",4700,3
52,Divina Infantita,"Plaza Párroco José Jiménez, 16",4700,1
53,Santo Domingo,"Avda. Oasis, 135",4700,2
54,Sierra Nevada,"Avda. Juan Aparicio, 3",4500,3
55,Virgen del Río,"Avda. Guillermo Reyna, s/n",4600,1
56,Cura Valera,"Avda. Guillermo Reyna, 35",4600,2
57,Ntra. Sra. del Rosario,"Avda. Andalucía, 2",4867,3
58,Juan Rubio Ortiz,"Avda. de Andalucía, 10",4867,1
59,Ntra. Sra. de la Cabeza,"C/ Mártires de Turón, s/n",4838,2
60,Concordia,"C/ Itálica, s/n",4110,3
61,Antonio Relaño,"C/ Ramón y Cajal, 35",4860,1
62,Antonio Devalque,"Plaza Ocho de Marzo, s/n",4260,2
63,Las Marinas,"C/ Bartolomé de las Casas, 1",4740,3
64,Virgen del Rosario,"C/ Magisterio, 7",4740,1
65,Miguel Zubeldia,"C/ Carretera, s/n",4890,2
66,Nuestra Señora de Monteagud,"C/ Camposanto, s/n",4279,3
67,Torrequebrada,"C/ Costa Brava, s/n. Torrequebrada",4721,1
68,Reyes Católicos,"Plaza de la Constitución, s/n",4620,2
69,Alyanub,"C/ Mayor, 58",4620,3
70,Joaquín Visiedo,"C/ Antonio Machado, s/n, esq. c/ Rodríguez de la Fuente, s/n",4240,1
71,Torremar,"Avda. del Toyo, 225. El Toyo",4130,2
72,Ferrer Guardia,"Otros DS El Charco.Llanos de la Cañada, s/n",4120,3
73,Las Salinas,"C/ Badajoz, s/n",4740,1
74,Al-Ándalus,"Paseo de la Caridad, 125. Finca Santa Isabel",4008,2
75,San Luis,"C/ De los Colegios, 12",4009,3
76,Alborán - Manuel Cáliz,"Avda. Padre Méndez, 30",4006,1
77,El Argar,"Paseo de la Caridad, 125",4008,2
78,Murgi,"Avda. Príncipes de España, 17",4700,3
79,Indalo,"C/ Granada, 249",4008,1
80,Sabinar,"C/ Pío Baroja, s/n",4740,2
81,El Palmeral,"C/ Hemano Lázaro, s/n",4620,3
82,Madre de la Luz,"C/ Calzada de Castro, 3",4006,1
83,Padre Méndez,"Avda. Padre Méndez, 29",4006,2
84,Príncipe Felipe,"C/ Arco, 98",4600,3
85,Ángel de Haro,"Avda. de Andalucía, s/n",4620,1
86,Ntra. Sra. de la Merced,"Avda. Guadalquivir, 75",4738,2
87,Nuestra Señora de Gádor,"C/ Santuario Ntra. Sra. de Gádor, s/n",4760,3
88,Martín García Ramos,"Ctra. de la Estación, 8",4800,1
89,Federico García Lorca,"C/ Goya, 2",4140,2
90,Gabriela Mistral,"C/ Octavio Augusto, 11",4700,3
91,Al-Bujaira,"Avda. Guillermo Reyna, 37",4600,1
92,Pedro Mena,"C/ Academia, 2",4770,2
93,Ángel Frigola,"C/ Rosaleda,19",4745,3
94,Valle de Andarax,"C/ Olivares, s/n",4450,1
95,Encarnación Asensio Granados,"C/ Hermanos Machado, s/n",4610,2
96,Arco Iris,"C/ Celindo, 68",4720,3
97,San Vicente,"Brr. San Vicente, 32",4130,1
98,Adela Díaz,"C/ Padre Méndez, s/n",4006,2
99,Ciudad de Almería,"C/ Padre Méndez, 40",4006,3
100,Al-Bayyana,"C/ Vilanova i la Geltrú, 7",4740,1
101,Albaida,"Ctra. de Níjar, s/n. Bda. Los Molinos",4009,2
102,Mar Mediterráneo,"C/ Parcela 4-Sector 4º, junto a Palacios de Congresos",4720,3
103,Nueva Almería,"C/ Camino de Jaul, esquina Fernando Fernán Gómez",4007,1
104,Laimún,"Paseo de las Mimosas, 54",4700,2
105,Saint Sylvain D'Anjou,"Avda. Pintor Ginés Parra, s/n",4738,3
106,Los Cuatro Caños,"C/ Miguel de Cervantes Saavedra, s/n",4620,1
107,Virgilio Valdivia,"C/ Gran Canaria, s/n",4720,2
108,Ginés Morata,"C/ Sahara, 137",4009,3
109,Luz del Mar,"Avda. de la Luz, s/n",4700,1
110,Almerimar,"C/ La Sal, esquina c/ Mascarón",4711,2
111,La Molina,"C/ Camino del Puerto, 19.",4740,3
112,Juan Sebastián Elcano,"C/ Juan Sebastián Elcano, s/n",4117,1
113,José Saramago,"C/ Gran Vía Marqués de Casablanca, 103",4738,2
114,Gabriel Cara,"C/ Cerro Muriano, 1",4740,3
115,Valdeserra,"Avda. Alhambra, 2. Ctra. de Vera a Garrucha",4621,1
116,Posidonia,"Avda. Polonia, s/n.",4740,2
117,Retamar,"Paseo del Toyo, s/n",4131,3
118,Campomar,"C/ Juan de Austria, 44",4720,1
119,del I.E.S. Carmen de Burgos,"C/ Río Duero, Nº1",4230,2
120,del I.E.S. Turaniana,C/ Dinamarca S/N,4740,3
121,,"C/ Pintor Velázquez, s/n",4240,1
122,del I.E.S. Las Marinas,"C/ Cerro Muriano, Nº1",4740,2
123,Profesor Tierno Galván,"C/ Alondra, s/n. Bda. San Francisco",4694,3
124,Ciavieja,"C/ Octavio Augusto, 22",4700,1
125,Blas Infante,"C/ Jairán, 1",4720,2
126,Blas Infante,"Cmo. de los Metaleros, s/n",4738,3
127,Federico García Lorca,"Avda. Federico García Lorca, 110",4738,1
